,id,trial,gender,group,age,time,trial_type1,trial_type2,trial_type3,trial_type4,trial_type5,trial_type6,trial_type7,trial_type8,trial_type9,trial_type10,trial_type11,trial_type12,trial_type13,trial_type14,trial_type15,trial_type16,trial_type17,trial_type18,trial_type19,trial_type20,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10,rt11,rt12,rt13,rt14,rt15,rt16,rt17,rt18,rt19,rt20,accuracy1,accuracy2,accuracy3,accuracy4,accuracy5,accuracy6,accuracy7,accuracy8,accuracy9,accuracy10,accuracy11,accuracy12,accuracy13,accuracy14,accuracy15,accuracy16,accuracy17,accuracy18,accuracy19,accuracy20,avg_incongruent,avg_congruent,acc_incongruent,acc_congruent
30,33,1,M,control,24,11:26:23,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,2.246658087,2.315176725,1.771959305,1.628570318,1.838298559,1.691146374,1.679529428,2.379897594,2.436040878,1.328290939,1.982131243,2.225471735,1.873717785,1.816409588,2.8776021,2.206923962,2.128918171,1.639107466,2.015093088,2.554228783,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.053337240133333,1.9670227052000002,0.75,0.25
31,33,2,M,control,24,11:34:00,False,True,True,True,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,1.958046675,1.336795807,1.113584042,1.845966816,1.570031166,1.319222212,2.234767199,2.095674515,1.366227627,2.035972834,1.70391345,1.615885019,1.629707575,1.843724251,1.60956645,1.645098925,1.653288603,2.029267311,2.052013636,1.714520216,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.7579913873846151,1.6456266132857142,0.65,0.35
32,34,1,F,control,26,11:56:29,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,1.199540615,3.601738214,1.732147932,0.966511488,0.980831385,1.196357012,0.689825296,1.419472456,1.93336463,2.348125696,0.727927685,1.232973099,0.679112434,1.404146671,1.23494792,0.798684835,0.865894556,0.622176886,0.97010684,2.05999589,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.3779971897499999,1.153981626,0.8,0.2
33,34,2,F,control,26,11:58:57,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,False,False,0.911674023,1.757250786,1.056770563,2.236682653,1.54198885,1.061461687,1.653939009,0.776499987,0.716359377,0.746100426,1.21259141,0.827155828,1.281241179,0.932075262,0.650370598,0.997742653,0.922787666,1.571400642,1.798531294,0.921154022,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.277477775357143,0.9481815100000001,0.7,0.3
34,35,1,F,exercise,22,14:25:17,False,False,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,2.392965317,1.657161951,2.15178299,4.075509071,2.778769016,1.762423038,2.227214575,3.257449627,3.264767647,2.409557104,1.776020288,2.181885719,1.548429012,1.746979713,1.629118204,2.535258293,2.248764277,2.225790024,3.102328777,1.569605827,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.4393214285,1.8781594035,0.8,0.2
35,36,1,M,exercise,26,14:29:47,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,1.41145134,1.357174635,1.15057826,1.20897913,1.237436533,1.562921524,1.613616705,1.627902269,2.588567257,1.347285271,1.122028828,2.011852741,2.197024107,1.141375065,1.953480959,1.327267647,1.488767624,1.392052889,1.488792896,1.171673059,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.544414690642857,1.4630705116666665,0.7,0.3
36,35,2,F,exercise,22,14:32:52,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,1.928701162,2.460711479,1.827689648,1.710973263,2.101717472,1.312803745,2.461936235,3.280633926,3.472043514,2.13291502,1.950870514,1.305105925,2.579826117,2.74230361,1.46500206,1.866098404,1.76860261,1.931677341,1.974979877,2.153642654,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.260830434066667,1.7031556130000003,0.75,0.25
37,37,1,M,exercise,23,14:35:26,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,2.23022294,2.771107197,3.155345201,2.026991367,1.938471317,2.344857454,2.308284998,2.785895824,2.226824522,4.558172226,2.963898182,2.979842663,2.698587894,2.051432848,1.573001146,2.331624031,2.404514074,2.64124465,3.87231946,2.640638351,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.6338588792777777,2.546908259,0.9,0.1
38,36,2,M,exercise,24,14:38:21,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,1.315834284,1.467834711,1.792924643,1.259110451,1.372245312,1.392491102,1.451937199,1.843673944,1.474732161,1.370414734,1.27568841,1.511867285,2.071123838,1.142432451,1.253139019,1.112750769,1.429639816,1.459593296,1.069512844,1.703721762,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,1.4627172152777779,1.2208790779999998,0.9,0.1
39,37,2,M,exercise,23,14:43:18,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1.958901405,2.130910158,1.814278364,1.880828381,2.33773303,2.169409513,2.301347256,2.198730946,2.271870852,2.08025074,2.677904367,1.75544548,2.287327528,3.298982382,2.507601023,1.940985918,2.390640497,2.1009655,1.955690861,1.886835337,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,Correct,2.203204982411765,2.1640516123333335,0.85,0.15
